attribution,collection,documentation-url,endpoint,licence,organisation,pipelines,entry-date,start-date,end-date
,employment-allocation,,,,local-authority-eng:NOW,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:NSM,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:NTY,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:NUN,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:NWA,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:NWL,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:NWM,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:OAD,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:OLD,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:OXO,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:PEN,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:PLY,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:POL,employment-allocation,2021-09-03T15:46:51.734Z,,2019-03-31
,employment-allocation,,,,local-authority-eng:POR,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:PRE,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:PTE,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:PUR,employment-allocation,2021-09-03T15:46:51.734Z,,2019-03-31
,employment-allocation,,,,local-authority-eng:RCC,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:RCH,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:RDB,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:RDG,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:RED,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:REI,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:RIB,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:RIC,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:RIH,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:ROC,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:ROH,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:ROS,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:ROT,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:RUG,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:RUH,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:RUN,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:RUS,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:RUT,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:RYE,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:SAL,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:SAW,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:SBU,employment-allocation,2021-09-03T15:46:51.735Z,,2020-03-31
,employment-allocation,,,,local-authority-eng:SCA,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:SCE,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:SDE,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:SED,employment-allocation,2021-09-03T15:46:51.735Z,,2019-03-31
,employment-allocation,,,,local-authority-eng:SEG,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:SEL,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:SEV,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:SFT,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:SGC,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:SHA,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:SHE,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:SHF,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:SHN,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:SHO,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:SHR,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:SKE,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:SKP,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:SLA,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:SLF,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:SLG,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:SND,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:SNO,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:SNR,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:SOL,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:SOS,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:SOX,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:SPE,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:SRI,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:SSO,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:SST,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:STA,employment-allocation,2021-09-03T15:46:51.735Z,,
,employment-allocation,,,,local-authority-eng:STE,employment-allocation,2021-09-03T15:46:51.736Z,,
,employment-allocation,,,,local-authority-eng:STF,employment-allocation,2021-09-03T15:46:51.736Z,,
,employment-allocation,,,,local-authority-eng:STH,employment-allocation,2021-09-03T15:46:51.736Z,,
,employment-allocation,,,,local-authority-eng:STN,employment-allocation,2021-09-03T15:46:51.736Z,,
,employment-allocation,,,,local-authority-eng:STO,employment-allocation,2021-09-03T15:46:51.736Z,,
,employment-allocation,,,,local-authority-eng:STR,employment-allocation,2021-09-03T15:46:51.736Z,,
,employment-allocation,,,,local-authority-eng:STT,employment-allocation,2021-09-03T15:46:51.736Z,,
,employment-allocation,,,,local-authority-eng:STV,employment-allocation,2021-09-03T15:46:51.736Z,,
,employment-allocation,,,,local-authority-eng:STY,employment-allocation,2021-09-03T15:46:51.736Z,,
,employment-allocation,,,,local-authority-eng:SUF,employment-allocation,2021-09-03T15:46:51.736Z,,2019-03-31
,employment-allocation,,,,local-authority-eng:SUR,employment-allocation,2021-09-03T15:46:51.736Z,,
,employment-allocation,,,,local-authority-eng:SWD,employment-allocation,2021-09-03T15:46:51.736Z,,
